Drug,Drug_Name,label
DB00001,Lepirudin,0
DB00002,Cetuximab,0
DB00003,Dornase alfa,0
DB00004,Denileukin diftitox,0
DB00005,Etanercept,0
DB00006,Bivalirudin,0
DB00007,Leuprolide,0
DB00008,Peginterferon alfa-2a,0
DB00009,Alteplase,0
DB00010,Sermorelin,0
DB00011,Interferon alfa-n1,0
DB00012,Darbepoetin alfa,0
DB00013,Urokinase,0
DB00014,Goserelin,0
DB00015,Reteplase,0
DB00016,Erythropoietin,0
DB00017,Salmon calcitonin,0
DB00018,Interferon alfa-n3,0
DB00019,Pegfilgrastim,0
DB00020,Sargramostim,0
DB00022,Peginterferon alfa-2b,0
DB00023,Asparaginase Escherichia coli,0
DB00024,Thyrotropin alfa,0
DB00025,"Antihemophilic factor, human recombinant",0
DB00026,Anakinra,0
DB00027,Gramicidin D,0
DB00028,Human immunoglobulin G,0
DB00029,Anistreplase,0
DB00030,Insulin human,0
DB00031,Tenecteplase,0
DB00032,Menotropins,0
DB00033,Interferon gamma-1b,0
DB00034,"Interferon alfa-2a, Recombinant",0
DB00035,Desmopressin,0
DB00036,Coagulation factor VIIa Recombinant Human,0
DB00038,Oprelvekin,0
DB00039,Palifermin,0
DB00040,Glucagon,0
DB00041,Aldesleukin,0
DB00042,Botulinum Toxin Type B,0
DB00043,Omalizumab,0
DB00044,Lutropin alfa,0
DB00045,Lyme disease vaccine (recombinant OspA),0
DB00046,Insulin lispro,0
DB00047,Insulin glargine,0
DB00048,Collagenase clostridium histolyticum,0
DB00049,Rasburicase,0
DB00050,Cetrorelix,0
DB00051,Adalimumab,0
DB00052,Somatotropin,0
DB00053,Imiglucerase,0
DB00054,Abciximab,0
DB00055,Drotrecogin alfa,0
DB00056,Gemtuzumab ozogamicin,0
DB00058,Alpha-1-proteinase inhibitor,0
DB00059,Pegaspargase,0
DB00060,Interferon beta-1a,0
DB00061,Pegademase,0
DB00062,Albumin human,0
DB00063,Eptifibatide,0
DB00065,Infliximab,0
DB00066,Follitropin,0
DB00067,Vasopressin,0
DB00068,Interferon beta-1b,0
DB00069,Interferon alfacon-1,0
DB00070,Hyaluronidase (ovine),0
DB00071,Insulin pork,0
DB00072,Trastuzumab,0
DB00073,Rituximab,0
DB00074,Basiliximab,0
DB00075,Muromonab,0
DB00076,Digoxin Immune Fab (Ovine),0
DB00078,Ibritumomab tiuxetan,0
DB00080,Daptomycin,0
DB00081,Tositumomab,0
DB00082,Pegvisomant,0
DB00083,Botulinum toxin type A,0
DB00085,Pancrelipase,0
DB00086,Streptokinase,0
DB00087,Alemtuzumab,0
DB00088,Alglucerase,0
DB00089,Capromab pendetide,0
DB00090,Laronidase,0
DB00091,Cyclosporine,0
DB00092,Alefacept,0
DB00094,Urofollitropin,0
DB00095,Efalizumab,0
DB00097,Choriogonadotropin alfa,0
DB00098,Antithymocyte immunoglobulin (rabbit),0
DB00099,Filgrastim,0
DB00100,Coagulation Factor IX (Recombinant),0
DB00102,Becaplermin,0
DB00103,Agalsidase beta,0
DB00104,Octreotide,0
DB00105,Interferon alfa-2b,0
DB00106,Abarelix,0
DB00107,Oxytocin,0
DB00108,Natalizumab,0
DB00109,Enfuvirtide,0
DB00110,Palivizumab,0
DB00112,Bevacizumab,0
DB00114,Pyridoxal phosphate,0
DB00115,Cyanocobalamin,0
DB00118,Ademetionine,0
DB00119,Pyruvic acid,0
DB00120,Phenylalanine,0
DB00121,Biotin,0
DB00122,Choline,0
DB00123,L-Lysine,0
DB00126,Ascorbic acid,0
DB00128,Aspartic acid,0
DB00129,Ornithine,0
DB00130,L-Glutamine,0
DB00131,Adenosine phosphate,0
DB00132,alpha-Linolenic acid,0
DB00134,Methionine,0
DB00135,Tyrosine,0
DB00136,Calcitriol,0
DB00137,Lutein,0
DB00138,Cystine,0
DB00139,Succinic acid,0
DB00140,Riboflavin,0
DB00141,N-Acetylglucosamine,0
DB00142,Glutamic acid,0
DB00143,Glutathione,0
DB00145,Glycine,0
DB00146,Calcifediol,0
DB00148,Creatine,0
DB00150,Tryptophan,0
DB00151,Cysteine,0
DB00152,Thiamine,0
DB00153,Ergocalciferol,0
DB00156,Threonine,0
DB00157,NADH,0
DB00158,Folic acid,0
DB00159,Icosapent,0
DB00161,Valine,0
DB00162,Vitamin A,0
DB00163,Vitamin E,0
DB00165,Pyridoxine,0
DB00166,Lipoic acid,0
DB00169,Cholecalciferol,0
DB00170,Menadione,0
DB00173,Adenine,0
DB00174,Asparagine,0
DB00175,Pravastatin,0
DB00176,Fluvoxamine,0
DB00177,Valsartan,0
DB00178,Ramipril,0
DB00179,Masoprocol,0
DB00180,Flunisolide,0
DB00181,Baclofen,0
DB00182,Amphetamine,0
DB00183,Pentagastrin,0
DB00184,Nicotine,0
DB00185,Cevimeline,0
DB00186,Lorazepam,0
DB00187,Esmolol,0
DB00188,Bortezomib,0
DB00189,Ethchlorvynol,0
DB00190,Carbidopa,0
DB00191,Phentermine,0
DB00192,Indecainide,0
DB00193,Tramadol,0
DB00194,Vidarabine,0
DB00195,Betaxolol,0
DB00196,Fluconazole,0
DB00197,Troglitazone,0
DB00198,Oseltamivir,0
DB00199,Erythromycin,0
DB00200,Hydroxocobalamin,0
DB00201,Caffeine,0
DB00202,Succinylcholine,0
DB00203,Sildenafil,0
DB00204,Dofetilide,0
DB00205,Pyrimethamine,0
DB00206,Reserpine,0
DB00207,Azithromycin,0
DB00208,Ticlopidine,0
DB00209,Trospium,0
DB00210,Adapalene,0
DB00211,Midodrine,0
DB00213,Pantoprazole,0
DB00214,Torasemide,0
DB00215,Citalopram,0
DB00216,Eletriptan,0
DB00217,Bethanidine,0
DB00218,Moxifloxacin,0
DB00219,Oxyphenonium,0
DB00220,Nelfinavir,0
DB00221,Isoetharine,0
DB00222,Glimepiride,0
DB00223,Diflorasone,0
DB00224,Indinavir,0
DB00225,Gadodiamide,0
DB00226,Guanadrel,0
DB00227,Lovastatin,0
DB00228,Enflurane,0
DB00229,Cefotiam,0
DB00230,Pregabalin,0
DB00231,Temazepam,0
DB00233,Aminosalicylic acid,0
DB00234,Reboxetine,0
DB00235,Milrinone,0
DB00236,Pipobroman,0
DB00237,Butabarbital,0
DB00238,Nevirapine,0
DB00239,Oxiconazole,0
DB00240,Alclometasone,0
DB00241,Butalbital,0
DB00242,Cladribine,0
DB00243,Ranolazine,0
DB00244,Mesalazine,0
DB00245,Benzatropine,0
DB00246,Ziprasidone,0
DB00247,Methysergide,0
DB00248,Cabergoline,0
DB00249,Idoxuridine,0
DB00250,Dapsone,0
DB00251,Terconazole,0
DB00252,Phenytoin,0
DB00253,Medrysone,0
DB00254,Doxycycline,0
DB00255,Diethylstilbestrol,0
DB00256,Lymecycline,0
DB00257,Clotrimazole,0
DB00258,Calcium acetate,0
DB00259,Sulfanilamide,0
DB00260,Cycloserine,0
DB00261,Anagrelide,0
DB00262,Carmustine,0
DB00263,Sulfisoxazole,0
DB00264,Metoprolol,0
DB00265,Crotamiton,0
DB00266,Dicoumarol,0
DB00267,Cefmenoxime,0
DB00268,Ropinirole,0
DB00270,Isradipine,0
DB00271,Diatrizoate,0
DB00272,Betazole,0
DB00273,Topiramate,0
DB00274,Cefmetazole,0
DB00275,Olmesartan,0
DB00276,Amsacrine,0
DB00277,Theophylline,0
DB00278,Argatroban,0
DB00279,Liothyronine,0
DB00280,Disopyramide,0
DB00281,Lidocaine,0
DB00282,Pamidronic acid,0
DB00283,Clemastine,0
DB00284,Acarbose,0
DB00285,Venlafaxine,0
DB00286,Conjugated estrogens,0
DB00287,Travoprost,0
DB00288,Amcinonide,0
DB00289,Atomoxetine,0
DB00290,Bleomycin,0
DB00291,Chlorambucil,0
DB00292,Etomidate,0
DB00293,Raltitrexed,0
DB00294,Etonogestrel,0
DB00295,Morphine,0
DB00296,Ropivacaine,0
DB00297,Bupivacaine,0
DB00298,Dapiprazole,0
DB00299,Penciclovir,0
DB00300,Tenofovir disoproxil,0
DB00301,Flucloxacillin,0
DB00302,Tranexamic acid,0
DB00303,Ertapenem,0
DB00304,Desogestrel,0
DB00305,Mitomycin,0
DB00306,Talbutal,0
DB00307,Bexarotene,0
DB00308,Ibutilide,0
DB00309,Vindesine,0
DB00310,Chlorthalidone,0
DB00312,Pentobarbital,0
DB00313,Valproic acid,0
DB00314,Capreomycin,0
DB00315,Zolmitriptan,0
DB00316,Acetaminophen,0
DB00317,Gefitinib,0
DB00318,Codeine,0
DB00319,Piperacillin,0
DB00320,Dihydroergotamine,0
DB00321,Amitriptyline,0
DB00322,Floxuridine,0
DB00323,Tolcapone,0
DB00324,Fluorometholone,0
DB00325,Nitroprusside,0
DB00326,Calcium glucoheptonate,0
DB00327,Hydromorphone,0
DB00328,Indomethacin,0
DB00330,Ethambutol,0
DB00331,Metformin,0
DB00332,Ipratropium,0
