DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
2018-12-18,29360470,Miron J,2018-01-19,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/29360470,CDK5RAP2 gene and tau pathophysiology in late-onset sporadic Alzheimer's disease.,Late-onset Alzheimer's disease,"966 Quebec (founder/genetic isolate) ancestry cases, 977 Quebec (founder/genetic isolate) controls","340 cases, 195 controls",,,,APOE,,,,,,,APOE-?,APOE,0,,,1,NR,1E-49,49,,,,Illumina [NR],N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST006806,Genome-wide genotyping array
2021-10-22,34151794,Kang S,2021-06-18,J Alzheimers Dis,www.ncbi.nlm.nih.gov/pubmed/34151794,Potential Novel Genes for Late-Onset Alzheimer's Disease in East-Asian Descent Identified by APOE-Stratified Genome-Wide Association Study.,Late-onset Alzheimer's disease,"1,119 Korean ancestry cases, 1,172 Korean ancestry controls","980 Japanese ancestry cases, 976 Japanese ancestry controls",19q13.32,19,44903416,,TOMM40,,,ENSG00000130204,,,rs10119-?,rs10119,0,10119,3_prime_UTR_variant,0,NR,2E-57,56.69897000433600,,2.731,,NR [35685761] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST90026599,Genome-wide genotyping array
2021-10-22,34151794,Kang S,2021-06-18,J Alzheimers Dis,www.ncbi.nlm.nih.gov/pubmed/34151794,Potential Novel Genes for Late-Onset Alzheimer's Disease in East-Asian Descent Identified by APOE-Stratified Genome-Wide Association Study.,Late-onset Alzheimer’s disease in APOEe4 non-carriers,"621 Korean ancestry cases, 976 Korean ancestry controls","435 Japanese ancestry cases, 815 Japanese ancestry controls",19p13.13,19,13513675,,CACNA1A,,,ENSG00000141837,,,rs189753894-?,rs189753894,0,189753894,intron_variant,0,NR,2E-08,7.698970004336020,,1.787,,NR [NR] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST90026601,Genome-wide genotyping array
2021-10-22,34151794,Kang S,2021-06-18,J Alzheimers Dis,www.ncbi.nlm.nih.gov/pubmed/34151794,Potential Novel Genes for Late-Onset Alzheimer's Disease in East-Asian Descent Identified by APOE-Stratified Genome-Wide Association Study.,Late-onset Alzheimer’s disease in APOEe4 non-carriers,"621 Korean ancestry cases, 976 Korean ancestry controls","435 Japanese ancestry cases, 815 Japanese ancestry controls",3p14.1,3,66492439,,LRIG1,,,ENSG00000144749,,,rs2280575-?,rs2280575,0,2280575,intron_variant,0,NR,2E-08,7.698970004336020,,0.544,,NR [NR] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST90026601,Genome-wide genotyping array
2017-03-24,27770636,Mez J,2016-10-20,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,6q14.1,6,78644638,Intergenic,,,,,,,rs186542490-A,rs186542490,0,186542490,intergenic_variant,1,0.006,8E-06,5.096910013008060,(liability model),0.6,[0.35-0.85] unit increase,NR [19725427] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST003815,Genome-wide genotyping array
2017-03-24,27770636,Mez J,2016-10-20,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,9p21.3,9,20013543,Intergenic,,,,,,,rs186076999-T,rs186076999,0,186076999,intergenic_variant,1,0.006,7E-06,5.154901959985740,(liability model),0.62,[0.35-0.89] unit increase,NR [19725427] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST003815,Genome-wide genotyping array
2017-03-24,27770636,Mez J,2016-10-20,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,9p21.2,9,25669750,Intergenic,NA - TUSC1,,ENSG00000198680,,,7219,rs141521929-T,rs141521929,0,141521929,intergenic_variant,1,0.005,4E-06,5.3979400086720400,(liability model),0.62,[0.37-0.87] unit increase,NR [19725427] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST003815,Genome-wide genotyping array
2017-03-24,27770636,Mez J,2016-10-20,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,4q31.3,4,152043740,Intergenic,RNA5SP169 - LINC02273,ENSG00000253077,ENSG00000245954,,72127,46719,rs73865608-A,rs73865608,0,73865608,intron_variant,1,0.004,1E-06,6,(liability model),0.63,[0.38-0.88] unit increase,NR [19725427] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST003815,Genome-wide genotyping array
2017-03-24,27770636,Mez J,2016-10-20,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,12q24.23,12,117861676,KSR2,KSR2,,,ENSG00000171435,,,rs184614511-T,rs184614511,0,184614511,intron_variant,0,0.005,6E-06,5.221848749616360,(liability model),0.64,[0.37-0.91] unit increase,NR [19725427] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST003815,Genome-wide genotyping array
2017-03-24,27770636,Mez J,2016-10-20,Alzheimers Dement,www.ncbi.nlm.nih.gov/pubmed/27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,6p22.3,6,23318629,Intergenic,,,,,,,rs193129245-A,rs193129245,0,193129245,intergenic_variant,1,0.005,1E-06,6,(liability model),0.67,[0.4-0.94] unit increase,NR [19725427] (imputed),N,late-onset Alzheimers disease,http://www.ebi.ac.uk/efo/EFO_1001870,GCST003815,Genome-wide genotyping array
